	D21BC	D21PT	D21R6	D21R7
AL669983.1	2	0	0	0
AL358779.1	0	0	0	0
RPL36AP35	0	0	0	0
AL359692.1	0	0	0	0
ACTL7B	0	0	0	0
ACTL7A	0	0	0	0
ELP1	309	377	412	339
FAM206A	50	55	60	34
CTNNAL1	151	114	209	142
TMEM245	383	465	670	614
MIR32	0	1	1	2
FRRS1L	3	3	0	1
EPB41L4B	7	8	15	9
RNU6-984P	0	0	0	0
MTND2P11	0	0	0	0
PTPN3	95	83	114	62
MIR3927	0	0	0	0
YBX1P6	0	0	0	0
PALM2	4	10	10	5
AL158829.1	0	0	0	0
PALM2-AKAP2	1	0	1	1
AL158823.1	0	0	0	0
AKAP2	0	1	3	1
C9orf152	0	0	0	0
TXN	428	324	684	463
TXNDC8	0	0	0	0
SVEP1	388	730	839	1027
RNU6-1039P	0	0	0	0
AL592463.1	0	0	0	0
MUSK	6	13	17	23
AL513328.1	1	0	1	2
LPAR1	1404	1588	1747	1568
RNU6-432P	0	3	0	0
RNY4P18	0	0	0	0
AL162414.1	0	0	0	0
MIR7702	0	0	0	0
OR2K2	0	0	0	0
ECPAS	893	1062	1425	1126
RNA5SP294	0	0	0	0
ZNF483	21	23	24	21
PTGR1	193	177	253	206
AL135787.1	0	0	0	0
LRRC37A5P	3	2	2	4
DNAJC25	45	53	56	35
DNAJC25-GNG10	0	0	0	0
GNG10	0	2	2	9
C9orf84	2	5	6	4
AL354877.1	0	0	1	1
RNU6-1013P	0	0	0	0
UGCG	112	95	148	98
MIR4668	0	0	0	0
RNU6-710P	0	0	0	0
AL138756.1	2	20	13	11
SUSD1	92	102	199	181
RNU6-855P	0	0	0	0
AL158824.1	0	2	2	2
PTBP3	592	702	863	688
RN7SL57P	1	1	1	0
RNA5SP295	1	5	3	4
RN7SL430P	1	1	0	2
HSPE1P28	1	1	0	0
AL359073.1	0	0	0	0
HSDL2	158	166	274	238
C9orf147	1	3	7	2
KIAA1958	11	15	8	8
AL445187.1	2	0	0	2
INIP	141	129	221	186
AL390067.1	0	2	0	1
SNX30	192	273	375	291
SLC46A2	6	1	2	2
AL139041.1	1	1	0	1
ZNF883	10	22	38	30
MUPP	0	0	0	1
ZFP37	34	31	39	37
AL162588.1	0	0	0	0
AL449105.1	0	0	0	0
AL449105.3	0	0	0	0
AL449105.4	0	0	0	0
AL449105.2	0	0	0	0
AL449105.5	0	0	0	0
FAM225B	33	45	61	32
FAM225A	26	33	69	43
SLC31A2	100	96	217	130
FKBP15	349	370	597	420
SLC31A1	545	501	455	225
CDC26	60	62	91	93
PRPF4	247	235	325	232
RNF183	0	1	2	2
WDR31	16	39	34	28
BSPRY	0	0	0	0
HDHD3	17	23	42	36
ALAD	132	166	326	311
POLE3	158	158	329	180
C9orf43	31	28	48	37
RGS3	393	367	508	371
AL162727.2	1	1	0	0
AL162727.3	3	0	4	0
AL162727.1	0	0	3	2
AL157702.2	0	0	4	2
AL157702.1	0	0	0	0
AL162393.1	0	0	0	0
ZNF618	43	83	99	151
AMBP	0	0	0	1
KIF12	3	4	3	1
COL27A1	549	783	242	214
MIR455	1	2	1	0
ORM1	15	7	22	12
ORM2	1	1	3	2
AKNA	104	120	299	239
AL138895.1	0	0	0	0
WHRN	13	26	26	15
AL138895.2	0	0	0	0
AL160275.2	0	0	0	0
ATP6V1G1	361	299	483	290
TMEM268	42	55	70	70
TEX53	0	0	0	1
TEX48	0	0	0	0
AL160275.1	0	0	0	0
AL390240.1	0	0	0	0
TNFSF15	0	0	2	4
AL133412.1	0	0	0	0
TNFSF8	0	0	0	0
TNC	24814	31253	70988	98028
AL162425.1	0	0	0	1
DEC1	1	4	10	7
AL355601.1	0	0	0	0
AL691420.1	0	5	1	6
LINC00474	0	1	0	0
AL691426.1	0	0	0	0
PAPPA	2315	3158	2472	1829
PAPPA-AS2	14	19	45	54
AL137024.1	7	14	6	6
PAPPA-AS1	399	535	316	212
ASTN2	41	40	120	142
ASTN2-AS1	1	5	11	9
AL133284.1	2	6	8	3
TRIM32	231	224	406	476
RPL10P3	0	2	1	0
SNORA70C	0	0	0	0
RN7SKP128	0	0	0	0
RN7SKP125	0	0	0	0
AL445644.1	0	0	0	0
AL161630.1	0	0	0	0
RPL35AP22	0	0	0	0
AL160272.2	0	0	0	0
TLR4	15	30	82	91
RNU6-1082P	0	0	0	0
AL160272.1	1	0	2	2
AL354754.1	0	0	0	0
TPT1P9	0	3	0	0
AL355592.1	0	0	0	0
LINC02578	0	0	0	0
TUBB4BP6	0	0	0	0
BRINP1	7	4	21	35
AC006288.1	0	0	0	0
LINC01613	0	0	0	0
AL441989.1	0	0	0	0
MIR147A	0	0	0	0
CDK5RAP2	242	297	443	391
MEGF9	67	106	212	174
AHCYP2	0	0	0	0
FBXW2	369	377	519	410
B3GNT10	21	19	43	23
AL161911.1	1	0	0	0
PSMD5	228	232	318	201
CUTALP	58	69	130	152
PHF19	94	120	157	175
TRAF1	86	88	253	242
C5	21	20	37	47
CNTRL	42	46	91	91
RAB14	228	296	539	366
RN7SL181P	0	0	2	1
GSN	7096	6847	10619	9085
AL513122.1	0	0	2	0
AL513122.2	6	8	10	3
GSN-AS1	800	845	809	638
STOM	326	362	1311	1243
AL359644.1	1	0	1	1
GGTA1P	0	1	0	1
RN7SL187P	0	0	0	0
HMGB1P37	0	0	0	0
DAB2IP	132	143	153	107
AL357936.1	0	0	0	0
AL596244.1	5	11	10	7
TTLL11	18	23	31	40
TTLL11-IT1	2	0	1	1
MIR4478	0	0	0	0
NDUFA8	164	95	207	178
MORN5	0	1	1	1
LHX6	1	5	1	0
RBM18	105	110	153	111
MRRF	128	119	181	154
PTGS1	141	210	331	263
AL162424.1	1	0	0	0
AL359636.3	0	0	0	0
AL359636.1	0	0	0	0
AL359636.2	0	0	0	0
OR1J1	0	0	0	0
OR1J2	0	0	0	0
OR1J4	0	0	0	0
OR1N1	0	0	0	0
OR1N2	0	0	0	0
OR1L8	0	1	2	1
OR1H1P	0	0	0	0
AL162254.1	0	0	0	0
OR1Q1	0	0	0	0
OR1B1	1	1	0	0
OR1L1	0	0	0	1
OR1L3	1	0	0	0
TLK1P1	0	0	1	0
OR1L4	0	1	0	0
OR1L6	0	0	0	0
SKA2P1	0	0	0	0
OR5C1	0	1	0	1
PDCL	177	144	242	196
OR1K1	1	1	0	0
KRT18P67	0	0	0	0
RC3H2	453	520	651	470
SNORD90	0	0	0	0
ZBTB6	81	70	122	92
ZBTB26	35	46	81	58
AC007066.2	2	6	4	4
RABGAP1	146	178	206	203
RNY1P15	0	1	0	0
AC007066.1	1	0	1	2
GPR21	0	0	0	0
AL365338.1	0	0	0	1
MIR600HG	4	2	7	5
STRBP	8	4	18	13
MIR600	0	0	0	0
CRB2	2	6	5	2
DENND1A	59	90	84	81
MIR601	0	0	0	1
MIR7150	0	0	0	0
AL445489.1	1	0	1	0
AL390774.2	0	1	1	2
AL390774.1	0	0	0	0
PIGFP2	0	0	0	0
LHX2	0	0	0	0
AC006450.3	0	0	0	0
AC006450.1	0	0	0	0
AC006450.2	0	0	0	0
NEK6	566	727	590	493
AL162724.2	7	6	3	1
AL162724.1	2	4	3	4
PSMB7	561	461	677	565
ADGRD2	0	0	0	0
NR5A1	0	0	0	0
AL354979.1	0	0	0	0
NR6A1	2	7	3	5
AL669818.1	0	0	0	0
RN7SL302P	1	0	0	1
MIR181A2HG	0	2	5	0
MIR181A2	0	1	0	0
MIR181B2	0	0	0	0
AL354928.1	0	0	0	0
OLFML2A	18	30	264	221
WDR38	104	90	91	79
RPL35	2816	2262	2341	2288
ARPC5L	111	105	140	127
GOLGA1	105	96	146	104
RNU4-82P	0	0	0	0
SCAI	58	70	81	57
FXNP2	0	0	1	0
PPP6C	139	157	209	149
PRPS1P2	0	1	6	4
RPSAP76	0	0	1	0
RABEPK	166	145	208	185
HSPA5	1447	1670	1819	1522
AL354710.2	1	0	1	0
GAPVD1	525	509	664	440
AL354710.1	0	1	1	0
RNU6-1020P	0	0	0	0
AL627223.1	0	0	0	0
MAPKAP1	445	413	578	465
RN7SL30P	0	1	0	1
AL162584.1	0	3	1	0
HNRNPA1P15	1	5	3	2
AL358074.1	1	0	0	0
PBX3	107	160	149	115
AL589923.1	0	0	0	0
AL162391.1	0	0	0	0
MVB12B	28	30	73	82
NRON	0	0	0	0
AL356309.2	0	0	0	0
AL356309.3	0	0	0	0
AL356309.1	0	0	0	0
AL161908.1	0	0	0	0
LMX1B	0	0	0	1
AL161908.2	0	0	0	0
ZBTB43	245	239	413	300
ZBTB34	97	120	131	113
RALGPS1	10	7	8	10
ANGPTL2	1655	1879	958	655
AL450263.1	0	0	1	0
GARNL3	20	35	18	24
AL450263.2	0	0	0	0
AL445222.1	2	4	1	0
SLC2A8	27	43	62	46
ZNF79	49	49	89	84
RPL12	4522	4365	3340	3199
SNORA65	3	4	2	6
LRSAM1	100	112	124	121
FAM129B	3715	3811	4889	3738
STXBP1	126	199	177	146
AL162426.1	1	1	1	0
PTRH1	57	50	74	69
MIR3911	0	0	0	0
CFAP157	69	41	90	98
TTC16	1	1	2	0
TOR2A	22	26	40	36
SH2D3C	3	0	5	1
CDK9	141	195	248	187
MIR3960	0	0	0	0
MIR2861	0	0	0	0
FPGS	246	228	381	362
ENG	129	349	228	209
AL162586.1	39	76	74	64
RNA5SP296	0	0	0	0
AK1	134	122	121	101
AL157935.2	0	5	1	3
MIR4672	0	2	1	0
ST6GALNAC6	8	8	5	9
ST6GALNAC4	165	174	211	150
PIP5KL1	23	21	25	23
AL157935.1	12	26	7	6
DPM2	127	103	173	116
FAM102A	258	328	188	158
AL360268.2	0	0	0	0
NAIF1	70	75	93	103
SLC25A25	89	108	186	160
AL360268.1	0	0	2	0
SLC25A25-AS1	21	25	37	25
PTGES2	172	164	233	195
PTGES2-AS1	3	3	9	1
LCN2	0	0	0	0
C9orf16	108	66	120	86
CIZ1	248	312	410	308
DNM1	125	220	77	62
MIR199B	0	0	2	0
MIR3154	0	0	0	0
GOLGA2	1012	948	1002	791
SWI5	132	103	125	96
TRUB2	302	329	340	266
AL359091.4	3	3	6	2
COQ4	230	220	267	231
SLC27A4	107	125	156	121
TMSB4XP4	0	0	0	0
URM1	191	198	325	271
AL359091.3	0	0	0	0
AL359091.1	0	0	1	1
MIR219A2	0	0	0	0
MIR219B	0	0	0	0
CERCAM	1514	1791	2682	1992
AL359091.5	10	8	4	6
AL359091.2	11	6	4	2
ODF2	245	276	256	200
ODF2-AS1	28	39	47	22
GLE1	83	92	212	176
AL356481.1	7	8	11	11
RNU7-171P	0	0	0	0
SPTAN1	1713	2049	2607	1715
AL356481.2	1	0	3	1
AL356481.3	43	46	58	21
WDR34	111	113	167	157
VTI1BP4	1	0	0	0
HMGA1P4	1	0	0	1
SET	1841	1619	2363	1796
PKN3	4	10	9	7
RN7SL560P	0	0	0	0
ZDHHC12	44	50	94	74
AL441992.1	2	3	5	8
ZER1	186	218	270	187
TBC1D13	101	114	197	191
ENDOG	183	162	211	154
SPOUT1	235	214	336	300
KYAT1	37	47	58	43
LRRC8A	299	338	529	313
PHYHD1	11	7	35	45
AL672142.1	0	0	0	0
DOLK	114	97	192	161
NUP188	159	265	248	255
AL592211.1	0	1	1	0
SH3GLB2	168	152	293	293
MIGA2	140	140	216	181
DOLPP1	94	75	122	85
CRAT	207	271	302	233
AL158151.2	11	14	23	14
PTPA	533	502	793	581
AL158151.4	0	1	0	0
IER5L	395	337	521	338
AL158151.3	30	29	27	15
AL158151.1	101	85	117	82
AL161785.2	1	0	0	0
AL161785.3	0	0	0	0
AL161785.1	0	0	0	0
C9orf106	2	2	2	1
AL353803.5	0	0	0	0
LINC01503	70	52	39	37
RN7SL159P	0	0	0	0
AL353803.3	0	0	0	0
AL353803.2	0	0	0	0
AL353803.1	0	0	0	0
AL353803.4	2	1	3	1
LINC00963	140	169	370	412
AL391056.1	58	57	27	13
NTMT1	178	170	188	143
C9orf50	4	3	3	1
ASB6	276	289	354	229
AL590369.1	27	24	25	25
PRRX2	91	120	130	87
PRRX2-AS1	0	0	2	1
PTGES	2476	2375	1252	745
UBE2V1P4	0	0	0	0
TOR1B	210	202	254	210
TOR1A	285	279	445	337
C9orf78	235	168	381	273
USP20	189	260	289	244
MIR6855	1	0	0	0
AL158207.1	0	1	0	0
FNBP1	57	79	133	93
AL158207.2	0	0	0	1
AL136141.1	0	1	0	0
GPR107	526	599	940	679
AL360004.1	0	0	0	1
NCS1	421	430	777	543
HMCN2	0	2	1	1
RN7SL665P	1	1	5	2
ASS1	286	284	520	512
FUBP3	363	375	409	334
MIR6856	0	0	0	0
AL359092.2	0	0	0	0
PRDM12	0	0	0	0
EXOSC2	166	147	208	162
ABL1	539	682	899	775
AL359092.1	0	1	0	0
QRFP	3	3	6	9
FIBCD1	34	52	8	1
AL161733.1	0	0	0	1
LAMC3	1	5	1	3
AIF1L	1	2	3	2
NUP214	104	181	212	174
RNU6-881P	0	0	0	0
AL157938.2	5	14	11	11
AL157938.3	1	4	1	2
AL157938.1	0	0	0	0
FAM78A	11	8	23	16
PLPP7	103	85	142	113
AL354855.1	0	0	2	0
PRRC2B	1175	1697	1788	1592
SNORD62A	2	0	0	0
SNORD62B	0	0	0	1
AL358781.1	292	453	430	379
POMT1	160	176	248	215
AL358781.2	18	16	25	16
UCK1	135	137	238	212
PRRT1B	0	0	0	0
RAPGEF1	218	257	527	378
RN7SL328P	0	4	0	4
EIF4A1P3	0	0	0	0
AL160271.1	0	0	0	0
MED27	145	121	245	174
NTNG2	32	21	145	103
SETX	651	661	1294	1138
TTF1	36	40	66	55
CFAP77	0	0	0	0
RNU5D-2P	0	0	0	0
BARHL1	0	1	0	1
DDX31	85	83	118	83
GTF3C4	202	204	322	235
AK8	4	4	10	4
AL445645.1	2	2	2	1
SPACA9	18	30	33	23
TSC1	217	240	477	395
GFI1B	2	2	8	4
MIR548AW	0	0	0	0
AL593851.1	0	0	0	0
RNU7-21P	0	0	0	0
EEF1A1P5	211	269	116	94
GTF3C5	161	160	213	204
MIR6877	0	0	0	0
CEL	1	2	1	2
CELP	0	0	0	0
RALGDS	45	54	33	18
AL162417.1	0	0	0	0
GBGT1	2	2	5	1
OBP2B	0	0	0	0
LCN1P1	0	0	0	0
ABO	2	0	0	0
LCN1P2	0	0	0	0
SURF6	142	138	220	185
MED22	144	159	291	277
AL772161.1	2	0	1	0
RPL7A	7588	6547	4322	4307
SNORD24	0	0	0	0
SNORD36B	0	0	0	0
SNORD36A	0	0	0	0
SNORD36C	0	0	0	0
SURF1	76	66	87	78
SURF2	32	28	62	59
SURF4	3183	3012	3726	2340
STKLD1	11	17	11	16
REXO4	189	143	232	185
ADAMTS13	61	55	73	84
CACFD1	50	61	102	77
SLC2A6	33	28	41	36
MYMK	0	0	0	0
ADAMTSL2	37	38	8	5
FAM163B	0	0	0	0
AC002101.1	0	0	0	0
DBH	1	7	3	3
DBH-AS1	2	2	3	5
SARDH	37	30	48	57
VAV2	213	254	203	145
BRD3OS	161	219	244	175
BRD3	130	162	204	171
AL445931.1	2	6	9	6
ARF4P1	0	0	0	0
BX649632.1	1	1	2	0
WDR5	150	158	226	178
RNU6ATAC	8	4	15	6
BX649601.1	0	0	0	1
LINC02247	0	0	0	0
AL354796.1	0	0	1	0
RXRA	607	683	1312	1308
MIR4669	0	0	0	1
AL669970.1	0	0	0	0
AL669970.3	1	2	1	0
AL669970.2	1	0	0	0
COL5A1	28375	35151	14043	8613
COL5A1-AS1	1	0	1	1
MIR3689C	0	0	2	0
MIR3689A	1	0	0	0
MIR3689D1	0	0	0	0
MIR3689B	0	1	2	1
MIR3689D2	0	1	1	0
MIR3689E	2	2	0	0
MIR3689F	2	2	0	0
AL603650.1	0	0	0	0
FCN2	0	0	0	0
FCN1	1	0	0	0
AL353611.1	0	0	0	0
AL353611.2	0	0	0	0
OLFM1	4	3	1	4
AL390778.1	0	0	0	0
AL390778.2	0	0	0	0
C9orf62	0	0	0	0
AL353615.1	0	0	0	0
SOCS5P2	0	0	0	0
PPP1R26-AS1	4	1	7	5
PPP1R26	88	77	133	110
C9orf116	6	6	16	10
MRPS2	105	100	112	119
AL161452.1	40	45	47	39
LCN1	1	0	0	0
OBP2A	0	0	1	0
PAEP	0	0	0	0
LINC01502	0	0	0	0
PAEPP1	0	0	0	0
AL354761.1	0	0	0	0
GLT6D1	0	0	0	0
LCN9	0	0	0	0
SOHLH1	0	0	0	0
KCNT1	3	1	4	5
CAMSAP1	271	273	370	273
AL355574.1	4	4	4	5
UBAC1	135	118	223	155
NACC2	300	376	393	380
AL138781.1	3	0	3	3
TMEM250	353	336	556	379
AL138781.2	2	2	1	4
LHX3	0	0	0	0
QSOX2	187	192	202	151
CCDC187	0	2	0	0
CR392000.1	0	0	0	0
CR392000.2	0	0	0	0
AC174065.1	1	1	6	5
GPSM1	929	895	833	668
DNLZ	45	44	36	35
CARD9	69	39	40	44
SNAPC4	74	92	82	80
SDCCAG3	196	172	173	143
PMPCA	370	335	387	329
INPP5E	63	67	104	99
SEC16A	457	760	628	389
C9orf163	5	8	4	1
NOTCH1	166	278	187	177
MIR4673	0	0	0	0
AL592301.1	0	1	1	1
MIR4674	0	0	0	1
NALT1	14	9	2	3
LINC01451	1	0	0	0
AL590226.1	0	0	0	0
EGFL7	56	40	46	64
MIR126	0	0	0	0
AGPAT2	117	120	163	157
FAM69B	12	16	9	13
SNHG7	205	212	202	209
SNORA17B	0	0	0	0
SNORA17A	0	0	0	0
AL355987.5	0	0	0	2
LCN10	0	0	0	0
AL355987.1	0	0	0	0
LCN6	0	0	0	0
MIR6722	0	0	0	0
LCN8	0	0	0	0
LCN15	0	0	0	0
ATP6V1G1P3	0	0	0	0
TMEM141	56	55	47	55
AL355987.3	0	0	0	0
CCDC183	7	9	2	7
AL355987.4	2	2	2	4
AL355987.2	0	0	0	0
CCDC183-AS1	10	26	13	21
RABL6	349	380	431	319
NCLP1	3	5	2	2
MIR4292	0	0	1	2
AJM1	170	187	127	100
PHPT1	530	475	548	488
MAMDC4	119	153	137	168
EDF1	1698	1226	1896	1721
TRAF2	41	41	77	58
MIR4479	0	4	0	0
AL807752.1	0	1	1	0
AL807752.5	0	1	2	1
FBXW5	687	624	1094	957
C8G	4	4	4	3
LCN12	0	0	0	0
PRR31	0	1	0	2
PTGDS	55	50	247	395
AL807752.7	0	0	0	0
LCNL1	16	10	57	76
PAXX	56	43	54	52
CLIC3	13	11	21	25
ABCA2	570	782	613	482
C9orf139	1	5	2	5
FUT7	1	0	0	0
AL807752.6	0	0	0	0
NPDC1	117	144	124	107
ENTPD2	0	0	0	0
AL807752.4	0	0	0	0
AL807752.2	0	0	1	0
SAPCD2	13	16	5	4
AL807752.3	5	2	3	1
UAP1L1	186	228	250	229
MAN1B1-AS1	4	3	6	8
MAN1B1	1073	970	1250	1125
RF00153	0	0	0	2
DPP7	904	944	1302	1304
GRIN1	2	2	1	1
LRRC26	0	0	0	0
AL929554.1	0	0	0	0
MIR3621	0	0	0	0
TMEM210	0	0	0	0
ANAPC2	128	163	177	192
SSNA1	142	131	209	183
TPRN	66	74	87	72
TMEM203	115	104	224	182
NDOR1	41	41	69	69
BX255925.3	41	32	45	53
RNF208	2	4	4	4
CYSRT1	3	2	11	10
RNF224	5	5	1	3
SLC34A3	9	22	5	19
TUBB4B	1098	973	1441	1113
FAM166A	138	108	176	134
STPG3-AS1	4	3	5	4
STPG3	9	5	3	6
NELFB	378	379	477	473
TOR4A	18	14	21	22
BX255925.2	0	0	0	0
BX255925.1	0	0	0	0
NRARP	0	1	0	0
EXD3	52	68	59	81
NOXA1	8	5	9	11
ENTPD8	1	0	1	8
NSMF	203	277	366	364
MIR7114	0	0	0	0
PNPLA7	17	27	17	28
MRPL41	262	183	291	250
DPH7	91	128	146	133
ZMYND19	100	112	146	98
ARRDC1	78	86	123	112
AL590627.2	0	0	0	0
ARRDC1-AS1	46	48	72	61
EHMT1	258	360	481	366
SETP5	0	0	0	2
AL590627.1	33	53	35	32
MIR602	0	0	0	0
AL772363.1	0	0	0	0
CACNA1B	1	4	1	0
AL591424.2	0	0	0	0
AL591424.1	0	0	0	0
TUBBP5	0	1	0	1
AL591424.3	1	0	0	0
AL954642.1	0	0	0	0
FAM157B	0	0	0	0
RNU6-785P	0	0	0	0
FO082796.1	0	0	0	0
WBP1LP10	0	0	0	0
OR4F2P	0	0	0	0
AC069287.1	0	0	0	0
CICP23	0	0	0	0
LINC01001	4	3	0	4
AC069287.3	0	0	0	0
RNU6-447P	0	0	0	0
BET1L	400	485	455	336
SCGB1C1	0	0	0	0
ODF3	4	8	2	3
AC069287.2	179	191	166	162
RIC8A	581	639	845	613
MIR6743	0	0	0	0
SIRT3	94	137	172	162
PSMD13	416	326	521	366
AC136475.10	2	2	0	0
NLRP6	0	1	0	0
AC136475.3	2	1	2	0
PGGHG	257	333	160	219
IFITM5	68	94	4	0
AC136475.6	0	0	0	0
IFITM2	76	104	371	330
AC136475.2	2	0	2	2
IFITM1	171	176	5515	4960
AC136475.1	1	2	8	8
IFITM3	678	841	5284	4705
AC136475.4	0	0	0	1
AC136475.8	0	1	2	0
AC136475.7	0	0	1	0
AC136475.5	0	1	1	0
AC136475.9	1	0	0	0
B4GALNT4	120	98	34	19
PKP3	10	15	18	11
SIGIRR	14	15	38	41
ANO9	0	1	1	1
RN7SL838P	0	0	2	0
PTDSS2	184	195	215	178
AC138230.1	1	0	2	1
RNH1	1219	1159	1866	1785
AC137894.1	2	2	3	4
HRAS	156	121	182	175
LRRC56	14	18	12	13
LMNTD2	7	3	5	7
AP006284.1	5	4	0	2
RASSF7	76	75	48	33
MIR210HG	234	211	168	134
MIR210	39	38	29	12
PHRF1	417	478	491	450
IRF7	95	90	809	806
CDHR5	22	55	12	15
SCT	167	119	129	58
DRD4	209	246	319	84
DEAF1	296	285	344	243
AC131934.1	2	6	1	1
EPS8L2	950	954	439	285
TMEM80	142	241	149	130
AP006621.4	60	49	29	10
TALDO1	1594	1330	1753	1149
GATD1	512	528	409	336
AP006621.3	19	22	17	18
AP006621.5	24	28	24	27
AP006621.2	2	5	3	1
CEND1	4	13	12	15
SLC25A22	95	114	129	120
PANO1	8	6	8	9
PIDD1	102	130	136	124
RPLP2	3423	3478	2645	2552
SNORA52	0	0	0	0
PNPLA2	122	154	218	298
AP006621.1	38	49	72	73
CRACR2B	28	24	14	31
CD151	2442	2206	3554	3224
POLR2L	843	689	1377	1332
TSPAN4	311	299	648	735
AP006623.1	11	13	8	7
CHID1	595	550	602	500
AP2A2	240	272	340	307
RNU6-1025P	0	0	0	0
MUC6	6	7	4	6
AC139749.1	0	0	0	0
MUC2	0	0	1	0
MUC5AC	1	0	0	1
MUC5B	2	21	5	9
AC061979.1	1	0	0	1
MIR6744	0	0	0	0
TOLLIP	242	204	461	402
TOLLIP-AS1	5	1	15	5
BRSK2	31	48	30	44
MOB2	172	131	221	243
DUSP8	3	9	5	2
KRTAP5-AS1	0	0	0	0
KRTAP5-1	0	0	0	0
KRTAP5-2	0	0	0	0
KRTAP5-3	0	0	0	0
KRTAP5-4	0	0	0	0
KRTAP5-5	0	0	0	0
AP006285.2	0	0	0	0
FAM99A	0	0	0	0
FAM99B	0	0	0	0
AP006285.1	0	0	0	0
KRTAP5-6	0	0	0	0
IFITM10	729	769	455	340
AC068580.4	224	583	92	124
CTSD	3027	2766	3290	1924
AC068580.3	1889	1526	2227	1222
AC068580.1	65	38	16	7
AC068580.2	1	1	1	0
RPL36AP39	0	0	0	0
AC139143.1	0	0	0	0
SYT8	72	49	30	8
TNNI2	10	6	1	2
LSP1	1600	1376	1217	1119
MIR4298	0	0	0	0
AC051649.1	1	1	1	1
MIR7847	2	0	1	0
AC051649.2	666	629	567	622
LINC01150	0	0	0	0
TNNT3	92	71	13	13
MRPL23	80	65	103	93
MRPL23-AS1	5	1	0	2
LINC01219	0	1	0	0
H19	679	525	105	57
RF01972	138	129	15	9
MIR675	0	0	0	0
RF01973	0	0	0	0
IGF2	29	95	140	193
AC132217.1	0	0	0	0
INS-IGF2	0	0	0	0
MIR483	0	0	0	0
IGF2-AS	0	0	1	0
INS	0	0	0	0
TH	0	0	0	0
MIR4686	0	0	0	0
ASCL2	2	3	15	25
C11orf21	4	2	7	6
TSPAN32	9	24	15	21
RNU6-878P	0	0	0	0
CD81-AS1	87	116	218	173
RPL26P30	1	0	0	1
CD81	1022	1513	2442	2436
TSSC4	206	170	302	306
TRPM5	1	1	2	6
AC124057.1	2	2	3	1
KCNQ1	7	7	6	4
KCNQ1OT1	647	1148	577	380
RF01946	2	6	0	1
RF01947	0	4	4	6
RF01948	2	1	0	0
RF01950	3	3	0	3
COX6CP18	0	0	0	0
KCNQ1-AS1	0	0	0	0
KCNQ1DN	0	0	0	0
AC013791.1	0	0	0	0
CDKN1C	190	131	56	56
SLC22A18AS	5	3	8	6
SLC22A18	36	40	66	66
PHLDA2	2	4	15	4
NAP1L4	308	312	517	369
SNORA54	6	8	11	16
AC131971.1	5	3	6	4
CARS	578	468	449	323
CARS-AS1	119	83	84	69
RNU1-91P	0	3	0	0
AC108448.2	1	6	6	5
OSBPL5	1405	1756	2969	2461
AC108448.1	1	1	0	0
MRGPRG	0	0	0	0
MRGPRG-AS1	0	0	0	1
AC109309.1	0	0	0	0
MRGPRE	0	0	1	3
NDUFA5P8	0	0	0	0
AC109309.2	0	0	0	0
NDUFA5P1	0	0	0	0
AC123788.2	0	0	0	0
AC123788.1	0	0	0	0
ZNF195	46	51	126	85
TSSC2	9	8	8	10
OR7E12P	0	0	1	0
FAM86GP	1	0	0	0
AC127526.3	0	0	0	0
AC127526.1	0	0	0	0
AC127526.2	0	0	0	0
SNRPCP5	0	0	0	0
RPS3AP39	0	0	0	0
RPS24P14	0	0	0	0
AP006294.2	0	0	0	0
AP006294.1	0	0	0	0
OR7E117P	0	0	0	0
TRPC2	0	0	0	0
ART5	0	1	0	0
ART1	0	0	0	0
CHRNA10	3	5	11	5
NUP98	444	513	736	666
RNU6-1143P	0	0	1	0
RNU7-50P	0	0	0	0
PGAP2	53	91	138	114
RHOG	64	69	111	137
AC090587.1	5	9	8	11
STIM1	758	764	906	549
AC090587.2	7	9	11	9
MIR4687	0	0	0	0
PPIAP40	0	5	2	2
AC087441.2	0	0	0	2
HNRNPA1P76	4	0	4	1
AC087441.1	1	0	0	0
RPS29P20	0	1	0	0
RRM1	308	289	289	267
RRM1-AS1	17	15	18	14
OR55B1P	1	2	0	2
AC015689.1	0	0	0	0
AC015689.2	0	0	0	0
SSU72P5	0	0	0	0
SSU72P2	0	0	0	0
SSU72P6	0	0	0	0
SSU72P4	0	0	0	0
SSU72P3	0	0	0	0
SSU72P7	0	0	0	0
OR52B4	0	0	0	0
OR52B3P	0	0	0	1
TRIM21	44	53	574	715
OR51R1P	0	0	1	4
OR52P2P	0	0	0	0
OR52K2	0	0	0	0
OR52K3P	0	0	8	12
OR52K1	0	0	0	1
OR52M2P	0	0	0	2
OR52M1	0	0	0	0
C11orf40	0	0	0	0
OR52I2	0	0	0	1
OR52I1	0	1	0	2
TRIM68	76	73	164	167
OR51D1	0	0	0	0
OR51E1	0	1	0	0
OR51A9P	0	0	0	0
OR51E2	0	0	0	0
OR51C1P	0	0	0	0
MMP26	0	0	0	0
AC103710.1	0	1	0	0
OR51C4P	0	0	0	0
KRT8P49	0	0	0	0
OR51F3P	0	0	0	0
OR51F4P	0	0	0	0
OR51F1	0	0	0	0
OR51N1P	0	0	0	0
OR52Y1P	0	0	0	0
OR52R1	0	0	0	0
OR51F2	0	0	0	0
OR51A8P	0	0	0	0
OR51S1	1	0	0	0
OR51H1	1	0	0	0
OR51H2P	0	0	0	0
OR51T1	0	0	0	0
OR51A6P	0	0	0	0
